date,equity,cash,portfolio_value
2025-03-17,1150803.5006164492,57412.158712643984,1093391.3419038053
2025-03-18,1155986.9890063615,57671.28961722934,1098315.6993891322
2025-03-19,1148755.8347830272,0.0,1148755.8347830272
2025-03-20,1138111.1508184231,2.9103830456733704e-11,1138111.1508184231
2025-03-21,1116469.6160752927,1.4551915228366852e-11,1116469.6160752927
2025-03-24,1124073.3323464508,-1.4551915228366852e-11,1124073.3323464508
2025-03-25,1116803.0457592397,2.9103830456733704e-11,1116803.0457592397
2025-03-26,1112339.440835043,55485.01466841801,1056854.426166625
2025-03-27,1112559.686883743,55487.432770400774,1057072.2541133421
2025-03-28,1109001.7999824325,55353.392119144686,1053648.4078632877
2025-03-31,1103087.3139280262,55064.52287879329,1048022.7910492329
2025-04-01,1105779.1260060149,55147.96012492321,1050631.1658810917
2025-04-02,1105784.6673819341,55208.33485680794,1050576.3325251262
2025-04-03,1092421.4514512662,54540.62215459664,1037880.8292966696
2025-04-07,1014671.1123948891,50613.306537188546,964057.8058577005
2025-04-08,1020449.991298588,18029.03168160841,1002420.9596169796
2025-04-09,1035782.6669776083,75369.78256139753,960412.8844162108
2025-04-10,1043041.188941525,79055.56425829153,963985.6246832334
2025-04-11,1045868.2950481676,83021.74998172272,962846.5450664449
2025-04-14,1046478.1286586191,83163.3596784855,963314.7689801336
2025-04-15,1042721.9330378276,82453.06275370103,960268.8702841266
2025-04-16,1048151.881461178,77162.76822589946,970989.1132352785
2025-04-17,1046939.2588224395,76662.27679458955,970276.9820278499
2025-04-18,1042801.9525417151,52089.627616767226,990712.3249249479
2025-04-21,1047213.5907678781,52298.302972936624,994915.2877949415
2025-04-22,1047273.2371650812,52169.385227147024,995103.8519379342
2025-04-23,1045049.2128893535,52127.656414391706,992921.5564749618
2025-04-24,1039651.7842021898,51890.67772917233,987761.1064730175
2025-04-25,1039099.5473214467,51801.459820708,987298.0875007387
2025-04-28,1036408.666888704,51722.68204692881,984685.9848417753
2025-04-29,1034757.5105807986,51631.47813993228,983126.0324408663
2025-04-30,1034254.7701589589,51620.115271992894,982634.654886966
2025-05-06,1047467.8556069094,52210.74310243782,995257.1125044716
2025-05-07,1047609.6554982987,52258.037461766886,995351.6180365318
2025-05-08,1050989.1008751402,52416.90562601795,998572.1952491221
2025-05-09,1047707.3613981308,549903.3685260925,497803.9928720383
2025-05-12,1051224.6975712827,551875.4014872828,499349.29608400003
2025-05-13,1051970.5013718733,552251.691355433,499718.8100164403
2025-05-14,1056445.3154668626,554609.4942045228,501835.82126233994
2025-05-15,1051142.6718131416,551814.8939488302,499327.77786431124
2025-05-16,1050260.8816906111,551356.6270416342,498904.25464897684
2025-05-19,1048948.6931253157,550676.6808398154,498272.01228550036
2025-05-20,1051920.471156488,552229.8878633067,499690.5832931812
2025-05-21,1055773.4887532534,554248.2337334624,501525.25501979096
2025-05-22,1055955.953818428,554350.839246437,501605.11457199114
2025-05-23,1051842.971621609,552189.4282542139,499653.54336739524
2025-05-26,1049919.127301012,551188.2509803938,498730.8763206181
2025-05-27,1047833.9167305795,550091.4748932911,497742.4418372884
2025-05-28,1048115.2741335875,550245.7595214521,497869.51461213536
2025-05-29,1049720.5810103035,551084.0008793346,498636.5801309689
2025-05-30,1049818.1553265466,52231.444136762584,997586.711189784
2025-06-03,1055961.9781667164,52720.75947298818,1003241.2186937283
2025-06-04,1060371.648468956,52933.12951168472,1007438.5189572712
2025-06-05,1058731.4040904879,52819.22647937882,1005912.1776111091
2025-06-06,1059841.5880934452,52915.89379703188,1006925.6942964132
2025-06-09,1067723.041061846,53315.43839723927,1014407.6026646069
