date,action,code,shares,price
2024-12-10,BUY,688599,0.042246235483759165,23.85
2024-12-10,BUY,688506,0.45422013179504006,216.15
2024-12-10,BUY,688472,7.6105772691599896,14.15965
2024-12-10,BUY,688396,0.42571146055939124,49.38834
2024-12-10,SELL,688303,1.1548014612859276,26.97
2024-12-10,BUY,688271,0.4426835068375077,139.0064
2024-12-10,BUY,688256,0.04846216414535398,538.43
2024-12-10,BUY,688223,2.6381360089642953,8.67
2024-12-10,SELL,688126,2.6559683735931685,22.18
2024-12-10,SELL,688111,0.13144366414060826,318.1679
2024-12-10,SELL,688082,0.015378637295992093,110.6216
2024-12-10,BUY,688047,0.3508730137095313,152.16
2024-12-10,SELL,688041,0.061915435469401814,130.1441
2024-12-10,BUY,601788,3.204800891876033,20.38672
2024-12-10,BUY,688036,1.1212386696486405,91.31208
2024-12-10,BUY,688009,1.3797889318166767,6.24623
2024-12-10,BUY,688008,0.616666562923335,67.94992
2024-12-10,SELL,603986,36.6569655702558,83.4548
2024-12-10,SELL,603833,0.6541413049557221,71.57691
2024-12-10,BUY,603799,0.8045257724132995,31.93127
2024-12-10,SELL,603369,2.463344847148228,48.30038
2024-12-10,BUY,603296,0.777985710633537,62.5085
2024-12-10,SELL,603288,1.1576736578859084,46.19885
2024-12-10,BUY,603259,1.3266496058915322,56.55461
2024-12-10,BUY,603019,0.3337457751552151,74.61606
2024-12-10,BUY,601901,3.790838786506413,8.741883
2024-12-10,SELL,601888,44.727793576184034,69.43009
2024-12-10,BUY,601881,0.9802105027040966,15.46861
2024-12-10,BUY,601865,1.4826270180067809,23.92607
2024-12-10,SELL,688012,0.09014554211310255,216.663
2024-12-10,BUY,600415,2.1328247172001227,13.7739
2024-12-10,SELL,601878,242.08837747125295,12.67959
2024-12-10,BUY,600176,4.102359122667792,11.68558
2024-12-10,SELL,002736,0.32586743980129995,11.22447
2024-12-10,BUY,002709,3.312526544854393,22.25628
2024-12-10,SELL,002600,8.24826025462994,9.016056
2024-12-10,BUY,002466,0.8565346328835091,37.19
2024-12-10,BUY,002463,3.5701192672959507,36.06416
2024-12-10,BUY,002460,1.742230501833859,38.77796
2024-12-10,BUY,002459,4.492716942347812,15.71
2024-12-10,BUY,002371,0.06339806483018684,294.3609
2024-12-10,SELL,002241,0.972812909127029,26.01121
2024-12-10,SELL,002236,0.8053006072175606,16.54252
2024-12-10,SELL,002230,1.5245666167435274,54.39432
2024-12-10,SELL,002142,1.6693236215146072,24.52287
2024-12-10,BUY,002129,3.2188919897887445,9.95
2024-12-10,BUY,002050,2.159323924639068,24.98552
2024-12-10,BUY,300014,1.3525741226507009,48.49867
2024-12-10,SELL,002049,0.057398042860214105,65.53593
2024-12-10,BUY,000977,0.2243872099494837,46.94765
2024-12-10,BUY,000963,2.2367298563134455,36.21759
2024-12-10,BUY,000938,0.32805874629713117,24.9069
2024-12-10,SELL,000858,21.868020695883896,142.4667
2024-12-10,SELL,000776,0.6031847843256344,16.44044
2024-12-10,SELL,000661,0.09281411018448438,105.7492
2024-12-10,SELL,000617,6.266065982195357,7.470915
2024-12-10,SELL,000568,0.4538751763804356,135.0305
2024-12-10,BUY,000425,2.892613241874699,7.907258
2024-12-10,BUY,000301,3.1050528279973264,9.44
2024-12-10,BUY,000166,1.1291045775629982,5.409132
2024-12-10,BUY,000100,631.8114601881914,4.856746
2024-12-10,BUY,000063,0.5243620781267566,30.52967
2024-12-10,SELL,000002,4.079536468382912,8.58
2024-12-10,SELL,001979,0.41147908090295005,10.97939
2024-12-10,SELL,300015,2.410678301100006,14.70882
2024-12-10,SELL,600183,2.9979361273796883,22.1564
2024-12-10,SELL,300059,1.002877188902218,27.9178
2024-12-10,BUY,300033,0.16499378709477242,323.6081
2024-12-10,BUY,600111,0.5329864366218828,22.93154
2024-12-10,BUY,600104,2.222095874639251,17.87785
2024-12-10,BUY,600066,135.42721610039058,22.65828
2024-12-10,BUY,600061,1.94483496012748,7.805948
2024-12-10,SELL,600048,2.699485624606382,9.816597
2024-12-10,BUY,600039,6.37658489552382,7.303969
2024-12-10,SELL,600030,0.39925085618300216,30.95933
2024-12-10,BUY,600029,423.83256657778423,7.24
2024-12-10,SELL,600010,39.11935313779236,2.1
2024-12-10,SELL,301269,1.8129644483410772,133.8093
2024-12-10,SELL,301236,3.1947123423637436,66.05565
2024-12-10,SELL,300999,0.7384192955315001,34.87504
2024-12-10,SELL,300896,0.44381221182863584,210.4073
