date,base_regime,z_sigma,buy_th,sell_th,target_exp,actual_exp,long_candidate_count
2025-10-21,bull,-0.38625195077971175,0.95,0.3,0.95,0.9501900760269819,15
2025-10-22,bull,-0.35859208223920047,0.95,0.3,0.95,0.9501287669202494,15
2025-10-23,bull,-0.3544444791922587,0.95,0.3,0.95,0.9501907348361994,15
2025-10-24,bull,-0.3489886192439856,0.95,0.3,0.95,0.9501288462076649,15
2025-10-27,bull,-0.3328208424186384,0.95,0.3,0.95,0.9501308742467662,15
2025-10-28,bull,-0.3210635484987985,0.95,0.3,0.95,0.950130130186923,15
2025-10-29,bull,-0.30714429108534996,0.95,0.3,0.95,0.9501322032190028,15
2025-10-30,bull,-0.28769954385328833,0.95,0.3,0.95,0.9501317281058654,15
2025-10-31,bull,-0.26708366979490117,0.95,0.3,0.95,0.9502505206502705,15
2025-11-03,bull,-0.2800591896772825,0.95,0.3,0.95,0.9501912982653731,15
2025-11-04,bull,-0.2816878236688122,0.95,0.3,0.95,0.9500693979372543,15
2025-11-05,bull,-0.26143226164526046,0.95,0.3,0.95,0.9500158486239688,15
2025-11-06,bull,-0.26019798937423294,0.95,0.3,0.95,0.9501303703787497,15
2025-11-07,bull,-0.23140506948219916,0.95,0.3,0.95,0.9501312500723283,15
2025-11-10,bull,-0.22104150520661497,0.95,0.3,0.95,0.9501277314054751,15
2025-11-11,neutral,-0.2173651530008943,0.57,0.32,0.65,0.6504708758198721,129
2025-11-12,neutral,-0.19170285318601668,0.57,0.32,0.65,0.6500169112676969,129
2025-11-13,neutral,-0.18458984739895712,0.57,0.32,0.65,0.6500329808812827,129
2025-11-14,neutral,-0.16733534058131225,0.57,0.32,0.65,0.6500229103844996,129
2025-11-17,neutral,-0.11391897918933908,0.57,0.32,0.65,0.6500295486577007,129
2025-11-18,neutral,-0.10076245381576225,0.57,0.32,0.65,0.650036347919974,129
2025-11-19,neutral,-0.09204855569621793,0.57,0.32,0.65,0.6500261111465948,129
2025-11-20,neutral,-0.0872360155785009,0.57,0.32,0.65,0.6500257851501426,129
2025-11-21,neutral,-0.08887539862744287,0.57,0.32,0.65,0.6500336905192428,129
2025-11-24,neutral,0.01669078695298454,0.57,0.32,0.6467615124160621,0.6468101825853236,129
2025-11-25,neutral,-0.03942351857682565,0.57,0.32,0.65,0.650048818375386,129
2025-11-26,neutral,-0.09960635627053134,0.57,0.32,0.65,0.6500453945584674,129
2025-11-27,neutral,-0.09375865693801384,0.57,0.32,0.65,0.6500352296466259,129
2025-11-28,neutral,-0.12367838728161035,0.57,0.32,0.65,0.650031595719612,129
2025-12-01,neutral,-0.16852258116654303,0.57,0.32,0.65,0.6500299639041585,129
2025-12-02,neutral,-0.1701320747188628,0.57,0.32,0.65,0.6500352063557915,129
2025-12-03,neutral,-0.16866911750091768,0.57,0.32,0.65,0.6500292748528567,129
2025-12-04,neutral,-0.1697859229310535,0.57,0.32,0.65,0.6500351589502236,129
